0	11342
0	824020
0	867923
0	891835
1	53051
1	203402
1	223236
1	276233
1	552600
1	569212
1	635575
1	748615
1	862566
1	893884
2	30957
2	357310
2	423174
2	430119
2	462435
2	472889
2	565424
2	581609
2	597621
2	644135
2	858904
4	44695
4	62391
4	79146
4	173976
4	670449
4	746182
4	795253
5	39733
5	219773
5	300279
5	535142
5	579655
5	581741
5	608321
6	119755
6	188708
6	668992
7	19576
7	43343
7	57818
7	75039
7	86833
7	174836
7	226374
7	230497
7	358176
7	487767
7	507854
7	514170
7	694921
7	743269
7	747035
7	877041
8	55948
8	846855
9	504263
9	704303
9	721062
9	780043
10	49988
10	85506
10	129774
10	134964
10	181848
10	194746
10	310676
10	332640
10	393685
10	556796
10	826668
11	42021
11	75364
11	105322
11	160306
11	216203
11	280605
11	360442
11	400675
11	579432
11	852008
11	881590
12	844958
13	104279
13	143673
13	257316
13	298314
13	317571
13	379868
13	487593
13	514176
13	677378
13	756408
13	806291
13	832457
13	834531
13	845262
13	876328
13	908351
13	909316
15	16586
15	43847
15	44788
15	99387
15	130698
15	268368
15	371984
15	390257
15	422877
15	451817
15	460382
15	518054
15	567443
15	639906
15	661693
15	771890
15	795462
15	830774
15	859227
15	888999
16	644379
17	33881
17	40033
17	96828
17	116209
17	202339
17	501061
17	520215
17	546581
17	551829
17	590190
17	647961
17	691178
17	724847
17	725759
17	793999
17	859607
17	861125
17	876722
18	225879
18	431311
18	445245
18	528720
18	781983
18	818382
18	886971
19	170194
19	173976
19	653863
20	7235
20	908351
21	117070
21	185067
21	212718
21	274149
21	425769
21	492643
21	504769
21	572100
21	602912
21	667688
21	681150
21	689371
21	711442
21	744789
21	776322
21	805694
21	815787
22	13505
22	87899
22	99379
22	124908
22	465399
22	486980
22	658333
22	738994
23	97652
23	105248
23	155786
23	399699
23	738198
23	747246
23	749027
23	776695
24	141906
24	146877
24	466013
24	504140
24	524179
24	767842
25	13825
25	55030
25	132001
25	153967
25	186630
25	274064
25	281234
25	441852
25	779319
25	798597
25	914842
26	97056
26	175140
26	316341
26	866449
27	47401
27	96333
27	135295
27	167262
27	265105
27	286493
27	377410
27	380942
27	440998
27	466467
27	479492
27	675403
27	701137
27	818304
27	840474
27	885553
28	151230
28	537900
28	616640
28	621034
28	621670
29	281482
29	291879
29	502809
29	714381
29	839849
29	846221
30	124509
30	161360
30	161448
30	177766
30	377928
30	564863
30	572945
30	650162
30	687325
30	727325
30	736915
30	766528
30	806752
30	841894
30	851608
30	856818
31	104370
31	166776
31	213338
31	290763
31	514756
31	859136
31	882132
32	51633
32	167455
32	215367
32	274848
32	479713
32	490263
32	515698
32	721816
32	891240
33	854445
34	62856
34	81997
34	297073
34	342492
34	405329
34	477577
34	498271
34	517327
34	610601
34	645885
34	717491
34	728753
34	758307
34	818382
34	909041
36	241611
36	285042
36	297289
36	455271
36	488181
36	546829
36	547329
37	155507
37	231194
37	321242
37	554773
37	558791
37	612116
37	851219
38	47312
38	67397
38	131029
38	238588
38	325684
38	459074
38	611265
38	643033
38	680996
38	704416
38	758553
40	444534
41	82213
41	349604
41	407610
41	418155
41	800011
41	882782
41	891714
42	123804
42	178983
42	181398
42	193068
42	193988
42	232911
42	274428
42	399263
42	486172
42	691463
42	741005
42	842118
42	912178
43	337695
43	360877
43	459074
43	568104
43	703332
44	192418
44	356683
44	494138
44	563108
44	770205
44	818349
47	354815
47	438491
48	25870
48	168352
48	375621
48	385596
48	409753
48	494100
48	630872
48	707188
48	721816
51	452291
51	844281
51	870284
53	68843
54	7969
54	51137
54	186973
54	229250
54	341092
54	385358
54	514446
54	535081
54	702975
54	778003
54	801615
56	619109
56	895872
57	619817
58	162633
58	211547
58	225347
58	268960
58	286373
58	312725
58	402132
58	424266
58	455784
58	486006
58	496670
58	629379
58	629941
58	641484
58	687219
58	725909
58	729910
58	877558
59	236155
59	476667
59	530002
59	639662
59	858556
60	308674
60	362947
60	736699
62	191810
62	325393
62	455181
62	496487
62	635838
62	805946
62	823884
62	837891
62	873588
62	904695
63	43416
63	839683
63	864162
63	896811
64	21682
64	813327
65	363978
65	828021
67	911557
67	911764
68	85372
68	286245
68	287318
68	509001
68	653315
68	759364
68	874174
68	885496
68	895388
68	913298
69	666573
69	898951
71	60070
71	162316
71	167423
71	186908
71	197012
71	228499
71	287762
71	303979
71	356332
71	374743
71	383195
71	402157
